p6020;dpto;a�o;pt_dpto;pet_dpto;pea_dpto;pei_dpto;empleados_dpto;desempleados_dpto;pt_gen_dpto;pet_gen_dpto;pea_gen_dpto;pei_gen_dpto;empleados_gen_dpto;desempleados_gen_dpto;nom_dep
mujer;17;2016;12763795;10297225;5825107;4591583;5248305;576802.44;6472694.5;5290750;2146234.3;3192222.5;1888373.1;257861.03;CALDAS
hombre;17;2017;13250715;10555055;5996083.5;4707896.5;5408043.5;588039.75;6503868.5;5103676.5;3700734.3;1474180.5;3429220.5;271513.78;CALDAS
hombre;17;2013;12405147;10039879;5357552;4816855;4851113;506439.03;6009661.5;4792772;3317386.8;1552023.6;3080111.5;237275.17;CALDAS
mujer;17;2012;12493857;10042691;5403456.5;4560781;4848899.5;554556.88;6389240.5;5198250;2054099.1;3047522;1805513.8;248585.47;CALDAS
mujer;17;2011;12402591;9902717;5293574.5;4777692.5;4665153.5;628421.06;6312341;5131803;1931282.6;3290538.5;1641488.6;289793.97;CALDAS
mujer;17;2013;12405147;10039879;5357552;4816855;4851113;506439.03;6395485;5247107;2040165.4;3264831.5;1771001.5;269163.84;CALDAS
hombre;17;2019;12985703;10588155;6120168;4605817;5456331.5;663836.44;6410398.5;5124611.5;3742473;1465764.6;3413321.8;329151.34;CALDAS
hombre;17;2016;12763795;10297225;5825107;4591583;5248305;576802.44;6291100.5;5006475;3678873;1399360.4;3359931.5;318941.41;CALDAS
mujer;17;2014;12444665;10005933;5533513.5;4618777.5;5033071;500442.41;6432259;5250575.5;2157607.8;3156661.5;1896031.3;261576.42;CALDAS
hombre;18;2014;7241645;5182805.5;2832887.3;2517342.3;2629045.3;203842.02;3598844;2545177;1901345;736153.81;1807293.5;94051.563;CAQUETA
mujer;18;2017;7793825.5;5578670;3340130.3;2399635.5;3084002.3;256127.84;3897445;2816076.5;1205101.4;1680465.3;1065463.1;139638.23;CAQUETA
hombre;18;2012;7059556.5;5012796.5;2689631.3;2330006.5;2437240.8;252390.63;3533340.3;2438181.3;1806134.9;682315.38;1682977;123157.89;CAQUETA
mujer;18;2014;7241645;5182805.5;2832887.3;2517342.3;2629045.3;203842.02;3642801;2637628.8;931542.19;1781188.4;821751.75;109790.45;CAQUETA
hombre;18;2019;7980007;5879605.5;3426117;2593188.5;3065579.3;360537.63;3960715.8;2926053.3;2182374.3;825120.19;2011126.6;171247.67;CAQUETA
mujer;18;2019;7980007;5879605.5;3426117;2593188.5;3065579.3;360537.63;4019291.3;2953552.3;1243742.8;1768068.3;1054452.8;189289.94;CAQUETA
mujer;18;2018;8221873.5;5891951.5;3491303.3;2543247.3;3210239.3;281063.88;4125340.8;2973070;1232490.4;1801322.6;1080020.6;152469.72;CAQUETA
hombre;18;2018;8221873.5;5891951.5;3491303.3;2543247.3;3210239.3;281063.88;4096533;2918881.5;2258812.8;741924.69;2130218.8;128594.16;CAQUETA
hombre;18;2013;7051224;5052100;2620828.5;2562480.5;2417658;203170.31;3564938.5;2504751;1827134.8;766523.31;1718594.5;108540.32;CAQUETA
mujer;18;2012;7059556.5;5012796.5;2689631.3;2330006.5;2437240.8;252390.63;3526216.5;2574615.3;883496.38;1647691.1;754263.63;129232.74;CAQUETA
hombre;18;2017;7793825.5;5578670;3340130.3;2399635.5;3084002.3;256127.84;3896380.8;2762593.8;2135028.8;719170.25;2018539.3;116489.6;CAQUETA
