year;dpto;nom_dpto;nom_ciu;sexo;inf;inf_b
2017;13;Bolivar;Cartagena;mujer;0.70188844;0.7006647
2017;15;Boyaca;Tunja;hombre;0.67143553;0.671224
2017;15;Boyaca;Tunja;mujer;0.68726426;0.68615413
2017;17;Caldas;Manizales;hombre;0.56957459;0.56957459
2017;17;Caldas;Manizales;mujer;0.54132676;0.54096919
2017;18;Caqueta;Florencia;hombre;0.82377672;0.82189411
2017;18;Caqueta;Florencia;mujer;0.81319666;0.81013012
2017;19;Cauca;Popayan;hombre;0.75657982;0.75655621
2017;19;Cauca;Popayan;mujer;0.69757253;0.69335359
2017;20;Cesar;Valledupar;hombre;0.72007018;0.72007018
2017;20;Cesar;Valledupar;mujer;0.67993754;0.67972058
2017;23;Cordoba;Monteria;hombre;0.76585418;0.76583314
2017;23;Cordoba;Monteria;mujer;0.78131747;0.78125864
2017;25;Cundinamarca;Cundinamarca;hombre;0.55700624;0.55606848
2017;25;Cundinamarca;Cundinamarca;mujer;0.61444533;0.61312884
2017;27;Choco;Quibdo;hombre;0.79386193;0.79377204
2017;27;Choco;Quibdo;mujer;0.7357893;0.73413903
2017;41;Huila;Neiva;hombre;0.77124548;0.7710911
2017;41;Huila;Neiva;mujer;0.69031721;0.68616712
2017;44;La Guajira;Riohacha;hombre;0.75020885;0.7492761
2017;44;La Guajira;Riohacha;mujer;0.74604017;0.745992
2017;47;Magdalena;Santa Marta;hombre;0.72512418;0.72469324
2017;47;Magdalena;Santa Marta;mujer;0.70453465;0.70388424
2017;50;Meta;Villavicencio;hombre;0.64615136;0.64600104
2017;50;Meta;Villavicencio;mujer;0.65838802;0.65607548
2017;52;Nariño;Pasto;hombre;0.79644525;0.79616964
2017;52;Nariño;Pasto;mujer;0.77560651;0.77229577
2017;54;Norte de Santander;Cucuta;hombre;0.79709995;0.7961964
2017;54;Norte de Santander;Cucuta;mujer;0.74430245;0.74349266
2017;63;Quindio;Armenia;hombre;0.58139735;0.58134985
2017;63;Quindio;Armenia;mujer;0.69541204;0.69510221
2017;66;Risaralda;Pereira;hombre;0.5735445;0.57313275
2017;66;Risaralda;Pereira;mujer;0.60009235;0.59937876
2017;68;Santander;Bucaramanga;hombre;0.64939928;0.64658105
2017;68;Santander;Bucaramanga;mujer;0.65910757;0.65416723
2017;70;Sucre;Sincelejo;hombre;0.82294691;0.82241631
2017;70;Sucre;Sincelejo;mujer;0.76210755;0.75436544
2017;73;Tolima;Ibague;hombre;0.67875409;0.676516
2017;73;Tolima;Ibague;mujer;0.72264475;0.72188407
2017;76;Valle del Cauca;Cali;hombre;0.49116883;0.49024013
2017;76;Valle del Cauca;Cali;mujer;0.56350029;0.56090724
2018;5;Antioquia;Medellin;hombre;0.48417217;0.48394877
2018;5;Antioquia;Medellin;mujer;0.49908859;0.49827266
2018;8;Atlantico;Barranquilla;hombre;0.59036666;0.59002966
2018;8;Atlantico;Barranquilla;mujer;0.61327738;0.61298341
2018;11;Bogota;Bogota;hombre;0.41260889;0.41209209
2018;11;Bogota;Bogota;mujer;0.42673218;0.42514056
2018;13;Bolivar;Cartagena;hombre;0.72414458;0.72414458
2018;13;Bolivar;Cartagena;mujer;0.69869596;0.6942324
2018;15;Boyaca;Tunja;hombre;0.66607451;0.66604978
2018;15;Boyaca;Tunja;mujer;0.70807272;0.70218074
2018;17;Caldas;Manizales;hombre;0.55671668;0.55657709
2018;17;Caldas;Manizales;mujer;0.53549588;0.53515255
2018;18;Caqueta;Florencia;hombre;0.83440232;0.83431578
2018;18;Caqueta;Florencia;mujer;0.79702204;0.79702204
2018;19;Cauca;Popayan;hombre;0.75973952;0.75969863
2018;19;Cauca;Popayan;mujer;0.71459061;0.71400744
2018;20;Cesar;Valledupar;hombre;0.71684349;0.71628928
2018;20;Cesar;Valledupar;mujer;0.68822426;0.68619353
2018;23;Cordoba;Monteria;hombre;0.77399075;0.77332556
2018;23;Cordoba;Monteria;mujer;0.78360307;0.78343678
2018;25;Cundinamarca;Cundinamarca;hombre;0.55086303;0.54703951
2018;25;Cundinamarca;Cundinamarca;mujer;0.57080442;0.56689334
2018;27;Choco;Quibdo;hombre;0.81650692;0.81643146
2018;27;Choco;Quibdo;mujer;0.72804457;0.72775358
2018;41;Huila;Neiva;hombre;0.76354551;0.76324046
2018;41;Huila;Neiva;mujer;0.70616162;0.70496142
2018;44;La Guajira;Riohacha;hombre;0.78968424;0.78965235
2018;44;La Guajira;Riohacha;mujer;0.73047137;0.72890073
2018;47;Magdalena;Santa Marta;hombre;0.73473287;0.73473287
2018;47;Magdalena;Santa Marta;mujer;0.71087676;0.71087676
2018;50;Meta;Villavicencio;hombre;0.64091986;0.64081073
2018;50;Meta;Villavicencio;mujer;0.64761025;0.6469661
2018;52;Nariño;Pasto;hombre;0.78886855;0.7871266
2018;52;Nariño;Pasto;mujer;0.7598446;0.75590038
2018;54;Norte de Santander;Cucuta;hombre;0.79128122;0.7904231
2018;54;Norte de Santander;Cucuta;mujer;0.72115201;0.72046274
2018;63;Quindio;Armenia;hombre;0.5910961;0.59080744
2018;63;Quindio;Armenia;mujer;0.69095874;0.69058359
2018;66;Risaralda;Pereira;hombre;0.60129565;0.60123467
2018;66;Risaralda;Pereira;mujer;0.61223632;0.61195785
2018;68;Santander;Bucaramanga;hombre;0.66501397;0.66351146
2018;68;Santander;Bucaramanga;mujer;0.66967118;0.66587454
2018;70;Sucre;Sincelejo;hombre;0.81735855;0.81638789
2018;70;Sucre;Sincelejo;mujer;0.76074821;0.75609267
