year;dpto;nom_dpto;nom_ciu;sexo;sineducacion;educprimaria;educsecundaria;educmedia;eductecnica;educuniversitaria;educpostgrado
2012;19;Cauca;Popayan;mujer;0.29175028;0.2525087;0.064751238;0.23735079;0.080648571;0.053184748;0.01980564
2012;20;Cesar;Valledupar;hombre;0.34144339;0.24551314;0.067492418;0.22819768;0.057570778;0.043920629;0.015861982
2012;20;Cesar;Valledupar;mujer;0.29792842;0.236212;0.071294054;0.22878666;0.093892924;0.056389563;0.015496368
2012;23;Cordoba;Monteria;hombre;0.31554425;0.25829452;0.066850208;0.26408303;0.021883383;0.051390655;0.021953974
2012;23;Cordoba;Monteria;mujer;0.29426435;0.24382792;0.066895261;0.2957606;0.023815461;0.05467581;0.020760598
2012;25;Cundinamarca;Cundinamarca;hombre;0.34814233;0.3216041;0.075486533;0.17220366;0.047572244;0.024572439;0.010418714
2012;25;Cundinamarca;Cundinamarca;mujer;0.32114834;0.30066985;0.079808615;0.1770335;0.076746412;0.031004785;0.013588517
2012;27;Choco;Quibdo;hombre;0.38074619;0.22696111;0.064155303;0.22356932;0.030742586;0.053619109;0.020206394
2012;27;Choco;Quibdo;mujer;0.34748802;0.20284308;0.067432113;0.24008262;0.044164997;0.070044346;0.027944839
2012;41;Huila;Neiva;hombre;0.30763543;0.2646189;0.071716629;0.21904826;0.063113324;0.0483936;0.025473854
2012;41;Huila;Neiva;mujer;0.27608186;0.25982457;0.071169592;0.22923976;0.085555553;0.050760236;0.027368421
2012;44;La Guajira;Riohacha;hombre;0.37976116;0.23167819;0.063733503;0.19534884;0.063859209;0.047894407;0.017724702
2012;44;La Guajira;Riohacha;mujer;0.3470611;0.21498872;0.062187277;0.19294001;0.092373677;0.070599876;0.019849343
2012;47;Magdalena;Santa Marta;hombre;0.32092309;0.24549536;0.075939298;0.2707895;0.024384698;0.048030466;0.01443756
2012;47;Magdalena;Santa Marta;mujer;0.27925918;0.2460054;0.081033409;0.29368126;0.028065989;0.056547001;0.015407761
2012;50;Meta;Villavicencio;hombre;0.32253912;0.28344962;0.072014093;0.25160897;0.018630175;0.036108665;0.015649347
2012;50;Meta;Villavicencio;mujer;0.29806113;0.26238376;0.07202334;0.29003829;0.020725703;0.040965173;0.015802588
2012;52;Nariño;Pasto;hombre;0.32354769;0.27326104;0.059266422;0.22407958;0.045589555;0.047523659;0.026732057
2012;52;Nariño;Pasto;mujer;0.31523871;0.25274986;0.056127001;0.23057257;0.06522385;0.0529758;0.027112195
2012;54;Norte de Santander;Cucuta;hombre;0.37200689;0.28886095;0.066014022;0.19440402;0.036711205;0.027384575;0.014618336
2012;54;Norte de Santander;Cucuta;mujer;0.33963487;0.27031803;0.070848055;0.2131331;0.051236749;0.039634865;0.015194346
2012;63;Quindio;Armenia;hombre;0.29233605;0.28798822;0.071186438;0.22461312;0.057479735;0.047457628;0.018938836
2012;63;Quindio;Armenia;mujer;0.25870299;0.26678547;0.071405843;0.24794756;0.078088209;0.059759434;0.017310508
2012;66;Risaralda;Pereira;hombre;0.31271794;0.28396556;0.066756815;0.23222546;0.047185253;0.044267312;0.012881645
2012;66;Risaralda;Pereira;mujer;0.29392591;0.28596503;0.069955498;0.23067762;0.059048455;0.046762366;0.013665142
2012;68;Santander;Bucaramanga;hombre;0.28890947;0.27143991;0.063591845;0.24960296;0.061408151;0.045923769;0.019123875
2012;68;Santander;Bucaramanga;mujer;0.26486745;0.25400048;0.065978028;0.25937426;0.081561975;0.053439215;0.0207786
2012;70;Sucre;Sincelejo;hombre;0.35402924;0.25519451;0.067081816;0.22066712;0.045193907;0.0430976;0.014735804
2012;70;Sucre;Sincelejo;mujer;0.31457067;0.25524002;0.068852827;0.22250395;0.078149654;0.046089701;0.014593193
2012;73;Tolima;Ibague;hombre;0.30881456;0.26802626;0.065383442;0.23930645;0.049343109;0.048350137;0.020776046
2012;73;Tolima;Ibague;mujer;0.27067226;0.26909971;0.075088456;0.24682218;0.066308476;0.05248329;0.019525619
2012;76;Valle del Cauca;Cali;hombre;0.26915669;0.26302889;0.07849431;0.27861103;0.050539833;0.042486139;0.017683106
2012;76;Valle del Cauca;Cali;mujer;0.2686305;0.26080194;0.079941787;0.27098912;0.057961561;0.047423095;0.01425202
2013;5;Antioquia;Medellin;hombre;0.26939133;0.26434326;0.065770313;0.24453937;0.086884767;0.048102126;0.020968838
2013;5;Antioquia;Medellin;mujer;0.24992736;0.25075755;0.068863891;0.23614629;0.12066747;0.053339422;0.020298036
2013;8;Atlantico;Barranquilla;hombre;0.25855532;0.23560263;0.07451836;0.28940126;0.068131067;0.063561305;0.010230046
2013;8;Atlantico;Barranquilla;mujer;0.25;0.23105773;0.077430688;0.27340487;0.081133686;0.075009495;0.01196354
2013;11;Bogota;Bogota;hombre;0.21240485;0.23549232;0.074067138;0.2859728;0.091663547;0.064832151;0.035567202
2013;11;Bogota;Bogota;mujer;0.2051124;0.23056225;0.077638879;0.25803015;0.1204664;0.071192332;0.03699759
2013;13;Bolivar;Cartagena;hombre;0.28840381;0.24449587;0.074305728;0.23242432;0.088066049;0.058856644;0.013447586
2013;13;Bolivar;Cartagena;mujer;0.25737187;0.24111079;0.076438591;0.24328658;0.10392213;0.065788724;0.012081305
2013;15;Boyaca;Tunja;hombre;0.2658709;0.25758383;0.068425454;0.2443549;0.054284193;0.070174105;0.039306622
2013;15;Boyaca;Tunja;mujer;0.26358396;0.21734343;0.069684602;0.24713425;0.077067547;0.079010427;0.046175767
2013;17;Caldas;Manizales;hombre;0.26270127;0.24564371;0.070215426;0.26483348;0.082420409;0.049922802;0.024262922
2013;17;Caldas;Manizales;mujer;0.23581758;0.25101966;0.069398098;0.24780621;0.11012236;0.061982449;0.023853665
2013;18;Caqueta;Florencia;hombre;0.39485574;0.27608567;0.062955409;0.18048674;0.031113379;0.035849605;0.018653454
2013;18;Caqueta;Florencia;mujer;0.34228995;0.27249163;0.069798321;0.21249288;0.0410318;0.041664034;0.020231396
2013;19;Cauca;Popayan;hombre;0.29219097;0.25185049;0.065507032;0.2446336;0.05841352;0.060202319;0.027202072
2013;19;Cauca;Popayan;mujer;0.27878019;0.2458584;0.062308747;0.24654427;0.081671417;0.061939433;0.022897542
2013;20;Cesar;Valledupar;hombre;0.33270755;0.24374735;0.066493064;0.2364198;0.059771091;0.047235511;0.013625628
2013;20;Cesar;Valledupar;mujer;0.28368568;0.23202458;0.068351611;0.24013141;0.10120278;0.060509723;0.014094208
2013;23;Cordoba;Monteria;hombre;0.31504622;0.24709797;0.069796674;0.24073938;0.052865066;0.054713495;0.01974122
2013;23;Cordoba;Monteria;mujer;0.28407693;0.23861943;0.063653432;0.24457683;0.092857607;0.059768181;0.016447581
2013;25;Cundinamarca;Cundinamarca;hombre;0.3466962;0.30257857;0.067485899;0.18392426;0.052578565;0.035052378;0.011684125
2013;25;Cundinamarca;Cundinamarca;mujer;0.30503511;0.28883684;0.075722091;0.20042935;0.074746288;0.038056206;0.017174082
2013;27;Choco;Quibdo;hombre;0.36448741;0.21401167;0.063689381;0.23710866;0.034223448;0.061387353;0.02509208
2013;27;Choco;Quibdo;mujer;0.33608797;0.19274046;0.062106669;0.2459475;0.052126374;0.080160193;0.030830843
2013;41;Huila;Neiva;hombre;0.30716205;0.26469979;0.068311848;0.23037155;0.062935136;0.045702074;0.020817537
2013;41;Huila;Neiva;mujer;0.27029157;0.25865307;0.074074075;0.23216343;0.088682793;0.053888585;0.022246469
2013;44;La Guajira;Riohacha;hombre;0.38220263;0.22844002;0.060431838;0.18908904;0.074613519;0.045675226;0.01954772
2013;44;La Guajira;Riohacha;mujer;0.34547499;0.20826307;0.064980328;0.18341765;0.10314783;0.072006747;0.022709386
2013;47;Magdalena;Santa Marta;hombre;0.31267405;0.25105172;0.073176511;0.27878177;0.026959768;0.046275996;0.011080168
2013;47;Magdalena;Santa Marta;mujer;0.2748318;0.24119298;0.084812209;0.30105418;0.029930603;0.053716164;0.014462044
2013;50;Meta;Villavicencio;hombre;0.31168294;0.27439108;0.070180267;0.26331362;0.025939178;0.038255125;0.016237788
2013;50;Meta;Villavicencio;mujer;0.28508341;0.25607213;0.072620213;0.29299557;0.030728655;0.04557164;0.016928362
2013;52;Nariño;Pasto;hombre;0.31654677;0.2609677;0.057553958;0.22612499;0.052264072;0.057483424;0.029059106
2013;52;Nariño;Pasto;mujer;0.30743679;0.24149597;0.05542228;0.23103894;0.074983083;0.061819524;0.027803408
2013;54;Norte de Santander;Cucuta;hombre;0.36149511;0.28680715;0.070057712;0.20151657;0.038786739;0.028049925;0.013286808
2013;54;Norte de Santander;Cucuta;mujer;0.33781481;0.25787809;0.074339941;0.22356734;0.051891956;0.037230808;0.017277041
2013;63;Quindio;Armenia;hombre;0.28122684;0.27811527;0.074825898;0.23996148;0.060379315;0.048303451;0.017187731
2013;63;Quindio;Armenia;mujer;0.25966397;0.26528549;0.069795348;0.2505053;0.080596261;0.054509852;0.019643759
2013;66;Risaralda;Pereira;hombre;0.29569811;0.28392452;0.074641511;0.23222642;0.050188679;0.050037734;0.013283019
2013;66;Risaralda;Pereira;mujer;0.28510612;0.27859125;0.074437208;0.23872799;0.058569308;0.051344901;0.013223247
2013;68;Santander;Bucaramanga;hombre;0.28769976;0.2665503;0.063649788;0.25204781;0.070296764;0.041694641;0.018060964
2013;68;Santander;Bucaramanga;mujer;0.26737517;0.2500453;0.063401967;0.25541937;0.091057301;0.050359279;0.022341646
2013;70;Sucre;Sincelejo;hombre;0.34814587;0.25395551;0.0710136;0.21260816;0.050741658;0.046847962;0.016687268
2013;70;Sucre;Sincelejo;mujer;0.31387269;0.24215598;0.06969969;0.21767145;0.08706858;0.053283282;0.016248319
2013;73;Tolima;Ibague;hombre;0.29551673;0.26458967;0.065349542;0.24635258;0.062841944;0.042629179;0.022720365
2013;73;Tolima;Ibague;mujer;0.26021302;0.25846028;0.075097747;0.25333694;0.07469327;0.055076178;0.023122557
2013;76;Valle del Cauca;Cali;hombre;0.27823964;0.25678739;0.073716648;0.27573979;0.052206267;0.045113657;0.018196616
2013;76;Valle del Cauca;Cali;mujer;0.26129597;0.255992;0.075256445;0.28461346;0.057743307;0.047685765;0.017413059
2014;5;Antioquia;Medellin;hombre;0.2614736;0.26257545;0.065488167;0.24379611;0.090591162;0.05006228;0.026013222
2014;5;Antioquia;Medellin;mujer;0.23612681;0.25124598;0.067931481;0.2401893;0.12522511;0.055199564;0.024081752
2014;8;Atlantico;Barranquilla;hombre;0.24984482;0.22222222;0.071694598;0.30203807;0.077229463;0.065228634;0.01174219
2014;8;Atlantico;Barranquilla;mujer;0.23303199;0.22933158;0.077286996;0.28497821;0.088809781;0.074851282;0.01171015
2014;11;Bogota;Bogota;hombre;0.21354499;0.23953399;0.075726539;0.27096403;0.097106643;0.06958136;0.033542439
2014;11;Bogota;Bogota;mujer;0.20911652;0.22911996;0.074495606;0.25251481;0.12835546;0.071736507;0.034661148
2014;13;Bolivar;Cartagena;hombre;0.28746179;0.23477319;0.070017837;0.23579256;0.095374621;0.058167685;0.018412335
2014;13;Bolivar;Cartagena;mujer;0.25724804;0.23573402;0.07397607;0.24183157;0.10837552;0.068568796;0.014265992
2014;15;Boyaca;Tunja;hombre;0.27233452;0.25065905;0.066783831;0.24458113;0.063708261;0.062902756;0.039030463
2014;15;Boyaca;Tunja;mujer;0.24429195;0.21709852;0.068753205;0.24525398;0.094407387;0.080105186;0.050089791
2014;17;Caldas;Manizales;hombre;0.25884843;0.24432606;0.064803325;0.26760563;0.081806906;0.060059842;0.022549806
2014;17;Caldas;Manizales;mujer;0.24296214;0.24856751;0.064711012;0.2544843;0.10494519;0.060787246;0.023542602
2014;18;Caqueta;Florencia;hombre;0.3882907;0.26678631;0.064453416;0.18169583;0.043143414;0.036862571;0.018767759
2014;18;Caqueta;Florencia;mujer;0.33737102;0.2640518;0.072486058;0.20585784;0.055309877;0.0459527;0.018970711
