year;dpto;nom_dpto;nom_ciu;sexo;horas
2017;13;Bolivar;Cartagena;hombre;46.527283
2017;13;Bolivar;Cartagena;mujer;36.788593
2017;15;Boyaca;Tunja;hombre;45.703247
2017;15;Boyaca;Tunja;mujer;37.369144
2017;17;Caldas;Manizales;hombre;48.832508
2017;17;Caldas;Manizales;mujer;40.047306
2017;18;Caqueta;Florencia;hombre;47.902191
2017;18;Caqueta;Florencia;mujer;39.080624
2017;19;Cauca;Popayan;hombre;40.098778
2017;19;Cauca;Popayan;mujer;35.532314
2017;20;Cesar;Valledupar;hombre;48.39637
2017;20;Cesar;Valledupar;mujer;37.432289
2017;23;Cordoba;Monteria;hombre;43.815933
2017;23;Cordoba;Monteria;mujer;35.188599
2017;25;Cundinamarca;Cundinamarca;hombre;48.787571
2017;25;Cundinamarca;Cundinamarca;mujer;39.28442
2017;27;Choco;Quibdo;hombre;45.927433
2017;27;Choco;Quibdo;mujer;40.730385
2017;41;Huila;Neiva;hombre;44.948429
2017;41;Huila;Neiva;mujer;36.953678
2017;44;La Guajira;Riohacha;hombre;46.516777
2017;44;La Guajira;Riohacha;mujer;36.054741
2017;47;Magdalena;Santa Marta;hombre;48.047688
2017;47;Magdalena;Santa Marta;mujer;36.94902
2017;50;Meta;Villavicencio;hombre;51.42952
2017;50;Meta;Villavicencio;mujer;43.197903
2017;52;Nariño;Pasto;hombre;42.194534
2017;52;Nariño;Pasto;mujer;32.480572
2017;54;Norte de Santander;Cucuta;hombre;51.53611
2017;54;Norte de Santander;Cucuta;mujer;40.185005
2017;63;Quindio;Armenia;hombre;49.809204
2017;63;Quindio;Armenia;mujer;38.494148
2017;66;Risaralda;Pereira;hombre;49.684921
2017;66;Risaralda;Pereira;mujer;42.036991
2017;68;Santander;Bucaramanga;hombre;48.483028
2017;68;Santander;Bucaramanga;mujer;39.602993
2017;70;Sucre;Sincelejo;hombre;45.319984
2017;70;Sucre;Sincelejo;mujer;33.626503
2017;73;Tolima;Ibague;hombre;46.630741
2017;73;Tolima;Ibague;mujer;35.54393
2017;76;Valle del Cauca;Cali;hombre;47.643105
2017;76;Valle del Cauca;Cali;mujer;38.871521
2018;5;Antioquia;Medellin;hombre;48.493114
2018;5;Antioquia;Medellin;mujer;41.236877
2018;8;Atlantico;Barranquilla;hombre;49.173897
2018;8;Atlantico;Barranquilla;mujer;38.84639
