year;dpto;nom_dpto;nom_ciu;sexo;ingresototal;ingnotransitorio
2016;41;Huila;Neiva;hombre;852047.63;802646.19
2016;41;Huila;Neiva;mujer;689768.75;628494.94
2016;44;La Guajira;Riohacha;hombre;938889.06;854766.75
2016;44;La Guajira;Riohacha;mujer;702998.63;646251.75
2016;47;Magdalena;Santa Marta;hombre;716817.94;702105.06
2016;47;Magdalena;Santa Marta;mujer;523330.06;496949.53
2016;50;Meta;Villavicencio;hombre;1117173.6;1027620.1
2016;50;Meta;Villavicencio;mujer;813665.94;746528.38
2016;52;Nariño;Pasto;hombre;688472.63;662740.63
2016;52;Nariño;Pasto;mujer;555266.13;517935.41
2016;54;Norte de Santander;Cucuta;hombre;838976.56;815290.63
2016;54;Norte de Santander;Cucuta;mujer;692870.19;649683.63
2016;63;Quindio;Armenia;hombre;940619.44;858688.88
2016;63;Quindio;Armenia;mujer;750280.5;682905.5
2016;66;Risaralda;Pereira;hombre;1038738.3;987834.44
2016;66;Risaralda;Pereira;mujer;826362.88;770935.31
2016;68;Santander;Bucaramanga;hombre;1113242.3;1058400.1
2016;68;Santander;Bucaramanga;mujer;873337.56;811335.13
2016;70;Sucre;Sincelejo;hombre;801980.56;762707.94
2016;70;Sucre;Sincelejo;mujer;579028;522969.81
2016;73;Tolima;Ibague;hombre;913296.25;852695.13
2016;73;Tolima;Ibague;mujer;683168.25;619340.06
2016;76;Valle del Cauca;Cali;hombre;1024702.1;971083.81
2016;76;Valle del Cauca;Cali;mujer;807590.06;751613.31
2017;5;Antioquia;Medellin;hombre;1277305.6;1190927
2017;5;Antioquia;Medellin;mujer;1110855.8;1015426.6
2017;8;Atlantico;Barranquilla;hombre;995204.88;963509.69
2017;8;Atlantico;Barranquilla;mujer;738886.75;698249.88
2017;11;Bogota;Bogota;hombre;1566973.8;1500149.5
2017;11;Bogota;Bogota;mujer;1328016.3;1260518.1
2017;13;Bolivar;Cartagena;hombre;830148.38;816639.63
2017;13;Bolivar;Cartagena;mujer;610200.44;601358.63
2017;15;Boyaca;Tunja;hombre;1080400.4;1014950.9
2017;15;Boyaca;Tunja;mujer;873872.81;808384.56
2017;17;Caldas;Manizales;hombre;1078859.5;984857.81
2017;17;Caldas;Manizales;mujer;956175.5;850251.88
2017;18;Caqueta;Florencia;hombre;1075435.6;1021939.5
2017;18;Caqueta;Florencia;mujer;781770;725578.13
2017;19;Cauca;Popayan;hombre;709015.63;686517
2017;19;Cauca;Popayan;mujer;633521.75;601055.19
2017;20;Cesar;Valledupar;hombre;912418.63;869635.69
2017;20;Cesar;Valledupar;mujer;706191.25;667555.25
2017;23;Cordoba;Monteria;hombre;869592.94;828817.94
2017;23;Cordoba;Monteria;mujer;629851.38;570127.69
2017;25;Cundinamarca;Cundinamarca;hombre;1130455.4;1030607.8
2017;25;Cundinamarca;Cundinamarca;mujer;818340.38;743810.94
2017;27;Choco;Quibdo;hombre;706990.06;705496.88
2017;27;Choco;Quibdo;mujer;549516.38;546765.19
2017;41;Huila;Neiva;hombre;957521.94;912214.94
2017;41;Huila;Neiva;mujer;744715.19;688959.81
2017;44;La Guajira;Riohacha;hombre;897812.06;841390.75
2017;44;La Guajira;Riohacha;mujer;704261.5;655571
2017;47;Magdalena;Santa Marta;hombre;729380.5;709666.75
2017;47;Magdalena;Santa Marta;mujer;555284.25;528058.25
2017;50;Meta;Villavicencio;hombre;1132210.4;1053719.5
2017;50;Meta;Villavicencio;mujer;868055.88;813236.88
2017;52;Nariño;Pasto;hombre;814411.69;788309.06
2017;52;Nariño;Pasto;mujer;636681.94;590818.38
2017;54;Norte de Santander;Cucuta;hombre;875463;856543.88
2017;54;Norte de Santander;Cucuta;mujer;699891;658122
2017;63;Quindio;Armenia;hombre;1058795.9;967354.63
2017;63;Quindio;Armenia;mujer;785847.88;702404.94
2017;66;Risaralda;Pereira;hombre;1099338.9;1048371.8
2017;66;Risaralda;Pereira;mujer;917335.94;857921.25
2017;68;Santander;Bucaramanga;hombre;1156412;1102928.6
2017;68;Santander;Bucaramanga;mujer;958346.63;887566
2017;70;Sucre;Sincelejo;hombre;890270.31;846120.13
2017;70;Sucre;Sincelejo;mujer;621893.88;562058
2017;73;Tolima;Ibague;hombre;909698.44;849332.63
2017;73;Tolima;Ibague;mujer;692691.31;638170.63
2017;76;Valle del Cauca;Cali;hombre;1117875.5;1058891.5
2017;76;Valle del Cauca;Cali;mujer;873289;819450.56
2018;5;Antioquia;Medellin;hombre;1310741.5;1236717.1
2018;5;Antioquia;Medellin;mujer;1176346.3;1082086.4
2018;8;Atlantico;Barranquilla;hombre;1023839.7;989696
2018;8;Atlantico;Barranquilla;mujer;798072.38;751581.19
2018;11;Bogota;Bogota;hombre;1662317;1606401.5
2018;11;Bogota;Bogota;mujer;1463513.1;1375927
2018;13;Bolivar;Cartagena;hombre;801897.56;789501.31
2018;13;Bolivar;Cartagena;mujer;613306.13;590796.38
2018;15;Boyaca;Tunja;hombre;1084239.8;1015449.8
2018;15;Boyaca;Tunja;mujer;825791.25;766890.63
2018;17;Caldas;Manizales;hombre;1103924.3;1017378.2
2018;17;Caldas;Manizales;mujer;996768.63;898158.81
2018;18;Caqueta;Florencia;hombre;1030280.8;981062.19
2018;18;Caqueta;Florencia;mujer;802483.63;752816.31
2018;19;Cauca;Popayan;hombre;742518.56;717721.94
2018;19;Cauca;Popayan;mujer;629651.69;598074.5
2018;20;Cesar;Valledupar;hombre;933089.88;890626.44
2018;20;Cesar;Valledupar;mujer;663574.13;635496.63
2018;23;Cordoba;Monteria;hombre;866502.5;828048.69
2018;23;Cordoba;Monteria;mujer;623317.44;567318.31
2018;25;Cundinamarca;Cundinamarca;hombre;1082852.8;1006664.4
2018;25;Cundinamarca;Cundinamarca;mujer;880543.25;801084.5
2018;27;Choco;Quibdo;hombre;743576.69;730525.44
2018;27;Choco;Quibdo;mujer;683284.44;655837.06
2018;41;Huila;Neiva;hombre;1049097.3;999830.94
2018;41;Huila;Neiva;mujer;850486.19;795148.5
2018;44;La Guajira;Riohacha;hombre;921052.69;860211.38
2018;44;La Guajira;Riohacha;mujer;698180.44;656775.06
2018;47;Magdalena;Santa Marta;hombre;820798.44;794174.13
2018;47;Magdalena;Santa Marta;mujer;612448.81;579703.19
