year;Mes;Tipo inactividad;Género;sexo;Total
2014;2;Estudiando ;0;mujer;2727
2014;2;Oficios del Hogar ;1;hombre;337
2014;2;Oficios del Hogar ;0;mujer;4993
2014;2;Otros;1;hombre;1437
2014;2;Otros;0;mujer;1065
2014;3;Estudiando ;1;hombre;2882
2014;3;Estudiando ;0;mujer;2708
2014;3;Oficios del Hogar ;1;hombre;341
2014;3;Oficios del Hogar ;0;mujer;4969
2014;3;Otros;1;hombre;1409
2014;3;Otros;0;mujer;1076
2014;4;Estudiando ;1;hombre;2819
2014;4;Estudiando ;0;mujer;2631
2014;4;Oficios del Hogar ;1;hombre;361
2014;4;Oficios del Hogar ;0;mujer;4925
2014;4;Otros;1;hombre;1416
2014;4;Otros;0;mujer;1075
2014;5;Estudiando ;1;hombre;2797
2014;5;Estudiando ;0;mujer;2667
2014;5;Oficios del Hogar ;1;hombre;367
2014;5;Oficios del Hogar ;0;mujer;4922
2014;5;Otros;1;hombre;1444
2014;5;Otros;0;mujer;1084
2014;6;Estudiando ;1;hombre;2775
2014;6;Estudiando ;0;mujer;2647
2014;6;Oficios del Hogar ;1;hombre;349
2014;6;Oficios del Hogar ;0;mujer;4874
2014;6;Otros;1;hombre;1463
2014;6;Otros;0;mujer;1091
2014;7;Estudiando ;1;hombre;2776
2014;7;Estudiando ;0;mujer;2697
2014;7;Oficios del Hogar ;1;hombre;322
2014;7;Oficios del Hogar ;0;mujer;4829
2014;7;Otros;1;hombre;1454
2014;7;Otros;0;mujer;1101
2014;8;Estudiando ;1;hombre;2693
2014;8;Estudiando ;0;mujer;2618
2014;8;Oficios del Hogar ;1;hombre;282
2014;8;Oficios del Hogar ;0;mujer;4722
2014;8;Otros;1;hombre;1408
2014;8;Otros;0;mujer;1108
2014;9;Estudiando ;1;hombre;2653
2014;9;Estudiando ;0;mujer;2596
2014;9;Oficios del Hogar ;1;hombre;295
2014;9;Oficios del Hogar ;0;mujer;4712
2014;9;Otros;1;hombre;1394
2014;9;Otros;0;mujer;1117
2014;10;Estudiando ;1;hombre;2478
2014;10;Estudiando ;0;mujer;2434
2014;10;Oficios del Hogar ;1;hombre;320
2014;10;Oficios del Hogar ;0;mujer;4909
2014;10;Otros;1;hombre;1487
2014;10;Otros;0;mujer;1159
2014;11;Estudiando ;1;hombre;2440
2014;11;Estudiando ;0;mujer;2393
2014;11;Oficios del Hogar ;1;hombre;347
2014;11;Oficios del Hogar ;0;mujer;5114
2014;11;Otros;1;hombre;1614
2014;11;Otros;0;mujer;1225
2014;12;Estudiando ;1;hombre;2502
2014;12;Estudiando ;0;mujer;2437
2014;12;Oficios del Hogar ;1;hombre;349
2014;12;Oficios del Hogar ;0;mujer;5247
2014;12;Otros;1;hombre;1628
2014;12;Otros;0;mujer;1198
2015;1;Estudiando ;1;hombre;2718
2015;1;Estudiando ;0;mujer;2578
2015;1;Oficios del Hogar ;1;hombre;333
2015;1;Oficios del Hogar ;0;mujer;5153
2015;1;Otros;1;hombre;1539
2015;1;Otros;0;mujer;1131
2015;2;Estudiando ;1;hombre;2781
2015;2;Estudiando ;0;mujer;2658
2015;2;Oficios del Hogar ;1;hombre;326
2015;2;Oficios del Hogar ;0;mujer;4980
2015;2;Otros;1;hombre;1440
2015;2;Otros;0;mujer;1074
2015;3;Estudiando ;1;hombre;2774
2015;3;Estudiando ;0;mujer;2647
2015;3;Oficios del Hogar ;1;hombre;335
2015;3;Oficios del Hogar ;0;mujer;4879
2015;3;Otros;1;hombre;1443
2015;3;Otros;0;mujer;1082
2015;4;Estudiando ;1;hombre;2725
2015;4;Estudiando ;0;mujer;2607
2015;4;Oficios del Hogar ;1;hombre;336
2015;4;Oficios del Hogar ;0;mujer;4821
2015;4;Otros;1;hombre;1507
2015;4;Otros;0;mujer;1115
2015;5;Estudiando ;1;hombre;2770
2015;5;Estudiando ;0;mujer;2612
2015;5;Oficios del Hogar ;1;hombre;336
2015;5;Oficios del Hogar ;0;mujer;4959
2015;5;Otros;1;hombre;1527
2015;5;Otros;0;mujer;1107
2015;6;Estudiando ;1;hombre;2798
2015;6;Estudiando ;0;mujer;2601
2015;6;Oficios del Hogar ;1;hombre;337
2015;6;Oficios del Hogar ;0;mujer;4934
2015;6;Otros;1;hombre;1508
2015;6;Otros;0;mujer;1126
2015;7;Estudiando ;1;hombre;2871
2015;7;Estudiando ;0;mujer;2664
2015;7;Oficios del Hogar ;1;hombre;325
2015;7;Oficios del Hogar ;0;mujer;4861
2015;7;Otros;1;hombre;1460
2015;7;Otros;0;mujer;1128
2015;8;Estudiando ;1;hombre;2791
2015;8;Estudiando ;0;mujer;2635
2015;8;Oficios del Hogar ;1;hombre;310
2015;8;Oficios del Hogar ;0;mujer;4690
2015;8;Otros;1;hombre;1428
2015;8;Otros;0;mujer;1110
2015;9;Estudiando ;1;hombre;2708
2015;9;Estudiando ;0;mujer;2644
2015;9;Oficios del Hogar ;1;hombre;310
2015;9;Oficios del Hogar ;0;mujer;4697
2015;9;Otros;1;hombre;1436
2015;9;Otros;0;mujer;1072
2015;10;Estudiando ;1;hombre;2483
2015;10;Estudiando ;0;mujer;2456
2015;10;Oficios del Hogar ;1;hombre;348
2015;10;Oficios del Hogar ;0;mujer;4877
2015;10;Otros;1;hombre;1489
2015;10;Otros;0;mujer;1154
2015;11;Estudiando ;1;hombre;2503
2015;11;Estudiando ;0;mujer;2383
2015;11;Oficios del Hogar ;1;hombre;381
2015;11;Oficios del Hogar ;0;mujer;5071
2015;11;Otros;1;hombre;1556
2015;11;Otros;0;mujer;1219
2015;12;Estudiando ;1;hombre;2546
2015;12;Estudiando ;0;mujer;2368
2015;12;Oficios del Hogar ;1;hombre;380
2015;12;Oficios del Hogar ;0;mujer;5160
2015;12;Otros;1;hombre;1593
2015;12;Otros;0;mujer;1241
2016;1;Estudiando ;1;hombre;2720
2016;1;Estudiando ;0;mujer;2543
2016;1;Oficios del Hogar ;1;hombre;411
2016;1;Oficios del Hogar ;0;mujer;5161
2016;1;Otros;1;hombre;1549
2016;1;Otros;0;mujer;1146
2016;2;Estudiando ;1;hombre;2863
2016;2;Estudiando ;0;mujer;2669
2016;2;Oficios del Hogar ;1;hombre;394
2016;2;Oficios del Hogar ;0;mujer;5078
2016;2;Otros;1;hombre;1468
2016;2;Otros;0;mujer;1069
2016;3;Estudiando ;1;hombre;2915
2016;3;Estudiando ;0;mujer;2709
2016;3;Oficios del Hogar ;1;hombre;416
2016;3;Oficios del Hogar ;0;mujer;5049
2016;3;Otros;1;hombre;1455
2016;3;Otros;0;mujer;1075
2016;4;Estudiando ;1;hombre;2900
2016;4;Estudiando ;0;mujer;2705
2016;4;Oficios del Hogar ;1;hombre;389
2016;4;Oficios del Hogar ;0;mujer;4971
2016;4;Otros;1;hombre;1444
2016;4;Otros;0;mujer;1068
2016;5;Estudiando ;1;hombre;2847
2016;5;Estudiando ;0;mujer;2719
2016;5;Oficios del Hogar ;1;hombre;429
2016;5;Oficios del Hogar ;0;mujer;5087
2016;5;Otros;1;hombre;1478
2016;5;Otros;0;mujer;1061
2016;6;Estudiando ;1;hombre;2784
2016;6;Estudiando ;0;mujer;2703
2016;6;Oficios del Hogar ;1;hombre;423
2016;6;Oficios del Hogar ;0;mujer;5138
2016;6;Otros;1;hombre;1454
2016;6;Otros;0;mujer;1045
2016;7;Estudiando ;1;hombre;2824
2016;7;Estudiando ;0;mujer;2732
2016;7;Oficios del Hogar ;1;hombre;401
2016;7;Oficios del Hogar ;0;mujer;5161
2016;7;Otros;1;hombre;1472
2016;7;Otros;0;mujer;1019
2016;8;Estudiando ;1;hombre;2762
2016;8;Estudiando ;0;mujer;2654
2016;8;Oficios del Hogar ;1;hombre;377
2016;8;Oficios del Hogar ;0;mujer;5009
2016;8;Otros;1;hombre;1445
2016;8;Otros;0;mujer;1033
2016;9;Estudiando ;1;hombre;2742
2016;9;Estudiando ;0;mujer;2651
2016;9;Oficios del Hogar ;1;hombre;392
2016;9;Oficios del Hogar ;0;mujer;4973
2016;9;Otros;1;hombre;1451
2016;9;Otros;0;mujer;1004
