year;dpto;nom_dpto;nom_ciu;sexo;Carro;Moto;Bicicleta
2015;68;Santander;Bucaramanga;hombre;0.17410529;0.36841783;0.22522712
2015;68;Santander;Bucaramanga;mujer;0.16509554;0.32775411;0.20698468
2015;70;Sucre;Sincelejo;hombre;0.03923833;0.36763144;0.22894493
2015;70;Sucre;Sincelejo;mujer;0.041643374;0.34716013;0.22024341
2015;73;Tolima;Ibague;hombre;0.11715837;0.389346;0.4184432
2015;73;Tolima;Ibague;mujer;0.12251786;0.36300769;0.40136111
2015;76;Valle del Cauca;Cali;hombre;0.15565072;0.37560144;0.49723923
2015;76;Valle del Cauca;Cali;mujer;0.14829384;0.3351315;0.47044849
2016;5;Antioquia;Medellin;hombre;0.13474077;0.28834751;0.30108368
2016;5;Antioquia;Medellin;mujer;0.13438715;0.25639358;0.27977234
2016;8;Atlantico;Barranquilla;hombre;0.10220465;0.21697019;0.29055542
2016;8;Atlantico;Barranquilla;mujer;0.10508617;0.19976211;0.27557978
2016;11;Bogota;Bogota;hombre;0.23320493;0.14986828;0.4286904
2016;11;Bogota;Bogota;mujer;0.22838062;0.12881903;0.39091101
2016;13;Bolivar;Cartagena;hombre;0.063150026;0.24378607;0.18797126
2016;13;Bolivar;Cartagena;mujer;0.066637956;0.22020075;0.17482728
2016;15;Boyaca;Tunja;hombre;0.19812579;0.19539027;0.30826318
2016;15;Boyaca;Tunja;mujer;0.17660162;0.16902532;0.28835934
2016;17;Caldas;Manizales;hombre;0.13165712;0.33622852;0.34002
2016;17;Caldas;Manizales;mujer;0.12399705;0.29079956;0.31375101
2016;18;Caqueta;Florencia;hombre;0.071232915;0.42477748;0.13689373
2016;18;Caqueta;Florencia;mujer;0.067848012;0.39550272;0.13821782
2016;19;Cauca;Popayan;hombre;0.065764785;0.34336835;0.24977626
2016;19;Cauca;Popayan;mujer;0.063256457;0.31290114;0.23136118
2016;20;Cesar;Valledupar;hombre;0.11437986;0.38163579;0.36699122
2016;20;Cesar;Valledupar;mujer;0.11020412;0.36990559;0.34635839
2016;23;Cordoba;Monteria;hombre;0.068611279;0.41611871;0.42439088
2016;23;Cordoba;Monteria;mujer;0.06172419;0.39319173;0.39065138
2016;25;Cundinamarca;Cundinamarca;hombre;0.18486422;0.24883537;0.42583781
2016;25;Cundinamarca;Cundinamarca;mujer;0.1791268;0.21701059;0.40461847
2016;27;Choco;Quibdo;hombre;0.015813116;0.16818401;0.10731272
2016;27;Choco;Quibdo;mujer;0.016069183;0.16303922;0.11306228
